#,City,State,Population,Metropolitan,Sexratio,Literacy
1,Mumbai,Maharashtra,"12,442,373","18,414,288",853,89.73
2,Delhi,Delhi,"11,034,555","16,314,838",876,87.59
3,Bangalore,Karnataka,"8,443,675","8,499,399",923,88.71
4,Hyderabad,Andhra Pradesh,"6,731,790","7,749,334",955,83.26
5,Ahmedabad,Gujarat,"5,577,940","6,352,254",898,88.29
6,Chennai,Tamil Nadu,"4,646,732","8,696,010",989,90.18
7,Kolkata,West Bengal,"4,496,694","14,112,536",908,86.31
8,Surat,Gujarat,"4,467,797","4,585,367",756,87.89
9,Pune,Maharashtra,"3,124,458","5,049,968",948,89.56
10,Jaipur,Rajasthan,"3,046,163","3,046,163",900,83.33
11,Lucknow,Uttar Pradesh,"2,817,105","2,901,474",928,82.5
12,Kanpur,Uttar Pradesh,"2,765,348","2,920,067",857,82.42
13,Nagpur,Maharashtra,"2,405,665","2,497,777",963,91.92
14,Indore,Madhya Pradesh,"1,964,086","2,167,447",925,85.87
15,Thane,Maharashtra,"1,841,488","1,841,488",888,89.41
16,Bhopal,Madhya Pradesh,"1,798,218","1,883,381",921,83.47
17,Visakhapatnam,Andhra Pradesh,"1,728,128","1,728,128",978,81.79
18,Pimpri and Chinchwad,Maharashtra,"1,727,692","1,727,692",833,89.22
19,Patna,Bihar,"1,684,222","2,046,652",885,83.37
20,Vadodara,Gujarat,"1,670,806","1,817,191",921,90.63
21,Ghaziabad,Uttar Pradesh,"1,648,643","2,358,525",885,84.78
22,Ludhiana,Punjab,"1,618,879","1,618,879",850,85.77
23,Agra,Uttar Pradesh,"1,585,704","1,746,467",875,73.11
24,Nashik,Maharashtra,"1,486,053","1,562,769",899,89.85
25,Faridabad,Haryana,"1,414,050","1,414,050",874,83.83
26,Meerut,Uttar Pradesh,"1,305,429","1,424,908",897,75.66
27,Rajkot,Gujarat,"1,286,678","1,390,933",908,87.8
28,Kalyan and Dombivali,Maharashtra,"1,247,327","1,247,327",920,91.37
29,Vasai Virar,Maharashtra,"1,222,390","1,222,390",886,88.57
30,Varanasi,Uttar Pradesh,"1,198,491","1,435,113",887,79.27
31,Srinagar,Jammu and Kashmir,"1,180,570","1,273,312",908,69.15
32,Aurangabad,Maharashtra,"1,175,116","1,189,376",929,87.49
33,Dhanbad,Jharkhand,"1,162,472","1,195,298",891,79.47
34,Amritsar,Punjab,"1,132,383","1,183,705",884,84.19
35,Navi Mumbai,Maharashtra,"1,120,547","1,120,547",837,89.62
36,Allahabad,Uttar Pradesh,"1,112,544","1,216,719",853,84.76
37,Haora,West Bengal,"1,077,075","1,077,075",919,88.71
38,Ranchi,Jharkhand,"1,073,427","1,126,741",921,87.37
39,Gwalior,Madhya Pradesh,"1,069,276","1,101,981",879,84.14
40,Jabalpur,Madhya Pradesh,"1,055,525","1,267,564",935,87.39
41,Coimbatore,Tamil Nadu,"1,050,721","2,151,466",997,91.3
42,Vijayawada,Andhra Pradesh,"1,034,358","1,491,202",995,81.24
43,Jodhpur,Rajasthan,"1,033,756","1,137,815",903,80.81
44,Madurai,Tamil Nadu,"1,017,865","1,462,420",999,90.91
